delivery_id,origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,climate_event,weather_score,traffic_index,delay_hours,status
DEL-10072,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,2.79,0.26,18.4,delayed
DEL-10073,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,1.42,0.32,8.5,delayed
DEL-10074,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,7.68,0.21,29.3,delayed
DEL-10075,Delhi,Mumbai,28.6,77.2,19.0,72.8,flood,9.04,0.68,19.2,delayed
DEL-10076,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,1.17,0.72,0.0,on_time
DEL-10077,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,1.4,0.77,16.9,delayed
DEL-10078,Mumbai,Chennai,19.0,72.8,13.0,80.2,flood,7.5,0.45,21.5,delayed
DEL-10079,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,8.6,0.32,14.8,delayed
DEL-10080,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,0.68,0.82,0.0,on_time
DEL-10081,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,9.77,0.23,18.7,delayed
DEL-10082,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,6.97,0.69,20.9,delayed
DEL-10083,Delhi,Kolkata,28.6,77.2,22.5,88.3,heatwave,9.52,0.89,28.9,delayed
DEL-10084,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,3.34,0.67,15.3,delayed
DEL-10085,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,1.51,0.59,23.2,delayed
DEL-10086,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,6.2,0.97,14.1,delayed
DEL-10087,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,5.76,0.38,8.9,delayed
DEL-10088,Delhi,Mumbai,28.6,77.2,19.0,72.8,cyclone,7.12,0.26,21.3,delayed
DEL-10089,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,8.83,0.95,16.1,delayed
DEL-10090,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,8.6,0.45,13.7,delayed
DEL-10091,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,6.95,0.39,8.4,delayed
DEL-10092,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,0.59,0.51,0.2,on_time
DEL-10093,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,3.49,1.0,15.6,delayed
DEL-10094,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,4.39,0.62,19.3,delayed
DEL-10095,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,0.14,0.67,0.5,on_time
DEL-10096,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,3.22,0.46,17.9,delayed
DEL-10097,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,0.86,0.91,3.1,on_time
DEL-10098,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,2.02,0.23,5.8,delayed
DEL-10099,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,0.11,0.98,14.6,delayed
DEL-10100,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,1.0,0.35,2.5,on_time
DEL-10101,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,0.72,0.71,19.5,delayed
DEL-10102,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,3.89,0.66,4.4,on_time
DEL-10103,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,0.27,0.8,0.0,on_time
DEL-10104,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,3.8,0.3,3.8,on_time
DEL-10105,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,0.94,0.32,3.5,on_time
DEL-10106,Delhi,Kolkata,28.6,77.2,22.5,88.3,heatwave,3.87,0.23,21.6,delayed
DEL-10107,Mumbai,Chennai,19.0,72.8,13.0,80.2,cyclone,8.44,0.89,31.4,delayed
DEL-10108,Mumbai,Chennai,19.0,72.8,13.0,80.2,flood,0.94,0.53,16.4,delayed
DEL-10109,Chennai,Bengaluru,13.0,80.2,12.9,77.5,heatwave,8.34,0.84,18.3,delayed
DEL-10110,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,1.57,0.71,3.7,on_time
DEL-10111,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,3.65,0.49,12.6,delayed
DEL-10112,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,0.34,0.54,0.9,on_time
DEL-10113,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,0.16,0.68,1.7,on_time
DEL-10114,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,2.17,0.42,3.4,on_time
DEL-10115,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,6.07,0.22,6.9,delayed
DEL-10116,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,6.09,0.54,12.6,delayed
DEL-10117,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,1.32,0.93,16.1,delayed
DEL-10118,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,0.76,0.23,0.0,on_time
DEL-10119,Delhi,Mumbai,28.6,77.2,19.0,72.8,heatwave,6.73,0.51,28.6,delayed
DEL-10120,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,2.87,0.33,11.3,delayed
DEL-10121,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,2.06,0.79,6.0,delayed
DEL-10122,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,9.53,0.5,16.9,delayed
DEL-10123,Delhi,Mumbai,28.6,77.2,19.0,72.8,cyclone,2.66,0.92,17.3,delayed
DEL-10124,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,1.88,0.62,1.8,on_time
DEL-10125,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,1.87,0.48,20.9,delayed
DEL-10126,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,7.5,0.49,14.9,delayed
DEL-10127,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,2.37,0.76,13.7,delayed
DEL-10128,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,4.31,0.68,7.0,delayed
DEL-10129,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,0.37,0.43,0.0,on_time
DEL-10130,Chennai,Bengaluru,13.0,80.2,12.9,77.5,heatwave,9.52,0.79,27.2,delayed
DEL-10131,Chennai,Bengaluru,13.0,80.2,12.9,77.5,heatwave,1.4,0.94,22.0,delayed
DEL-10132,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,7.3,0.29,22.4,delayed
DEL-10133,Delhi,Kolkata,28.6,77.2,22.5,88.3,heatwave,6.8,0.23,20.5,delayed
DEL-10134,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,2.23,0.27,1.9,on_time
DEL-10135,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,6.45,0.79,10.4,delayed
DEL-10136,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,2.32,0.84,20.4,delayed
DEL-10137,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,2.44,0.69,1.9,on_time
DEL-10138,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,3.73,0.65,20.7,delayed
DEL-10139,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,7.41,0.82,11.5,delayed
DEL-10140,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,9.16,0.79,22.2,delayed
DEL-10141,Chennai,Bengaluru,13.0,80.2,12.9,77.5,flood,1.77,0.69,18.5,delayed
DEL-10142,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,9.79,0.41,14.3,delayed
DEL-10143,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,7.78,0.54,10.9,delayed
DEL-10144,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,9.9,0.96,17.5,delayed
DEL-10145,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,4.41,0.25,9.3,delayed
DEL-10146,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,3.81,0.53,4.7,on_time
DEL-10147,Mumbai,Chennai,19.0,72.8,13.0,80.2,flood,4.36,0.56,14.6,delayed
DEL-10148,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,3.17,0.37,15.4,delayed
DEL-10149,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,3.92,0.39,6.6,delayed
DEL-10150,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,2.84,0.23,5.1,delayed
DEL-10151,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,5.28,0.67,8.4,delayed
DEL-10152,Delhi,Mumbai,28.6,77.2,19.0,72.8,flood,8.87,0.92,35.0,delayed
DEL-10153,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,6.69,0.95,9.8,delayed
DEL-10154,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,9.51,0.6,11.5,delayed
DEL-10155,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,6.14,0.36,20.0,delayed
DEL-10156,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,2.77,0.64,4.5,on_time
DEL-10157,Delhi,Mumbai,28.6,77.2,19.0,72.8,heatwave,0.57,0.85,8.1,delayed
DEL-10158,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,9.1,0.81,13.9,delayed
DEL-10159,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,6.06,0.31,11.8,delayed
DEL-10160,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,6.58,0.87,18.6,delayed
DEL-10161,Delhi,Mumbai,28.6,77.2,19.0,72.8,cyclone,3.12,0.88,18.4,delayed
DEL-10162,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,0.2,0.8,0.3,on_time
DEL-10163,Delhi,Kolkata,28.6,77.2,22.5,88.3,flood,9.2,0.53,30.3,delayed
DEL-10164,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,0.54,0.96,14.3,delayed
DEL-10165,Delhi,Mumbai,28.6,77.2,19.0,72.8,heatwave,8.19,0.62,23.9,delayed
DEL-10166,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,1.38,0.24,11.4,delayed
DEL-10167,Mumbai,Chennai,19.0,72.8,13.0,80.2,flood,0.83,0.36,20.8,delayed
DEL-10168,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,7.12,0.54,13.3,delayed
DEL-10169,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,7.16,0.81,11.4,delayed
DEL-10170,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,9.59,0.28,17.9,delayed
DEL-10171,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,9.69,0.73,16.4,delayed
DEL-10172,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,4.62,0.82,16.5,delayed
DEL-10173,Chennai,Bengaluru,13.0,80.2,12.9,77.5,heatwave,6.03,0.35,26.8,delayed
DEL-10174,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,1.33,0.97,14.5,delayed
DEL-10175,Mumbai,Chennai,19.0,72.8,13.0,80.2,flood,9.04,0.38,31.3,delayed
DEL-10176,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,4.09,0.31,4.7,on_time
DEL-10177,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,7.52,0.73,32.8,delayed
DEL-10178,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,4.49,0.76,9.5,delayed
DEL-10179,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,7.67,0.76,9.5,delayed
DEL-10180,Mumbai,Chennai,19.0,72.8,13.0,80.2,flood,7.19,0.8,22.5,delayed
DEL-10181,Delhi,Mumbai,28.6,77.2,19.0,72.8,heatwave,0.3,0.93,19.5,delayed
DEL-10182,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,6.69,0.92,11.4,delayed
DEL-10183,Delhi,Kolkata,28.6,77.2,22.5,88.3,heatwave,2.02,0.95,14.9,delayed
DEL-10184,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,7.43,0.98,15.7,delayed
DEL-10185,Chennai,Bengaluru,13.0,80.2,12.9,77.5,cyclone,6.59,0.27,27.9,delayed
DEL-10186,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,8.31,0.56,14.4,delayed
DEL-10187,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,7.49,0.94,18.6,delayed
DEL-10188,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,7.17,0.68,10.1,delayed
DEL-10189,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,2.41,0.39,2.3,on_time
DEL-10190,Mumbai,Chennai,19.0,72.8,13.0,80.2,none,9.25,0.99,14.5,delayed
DEL-10191,Delhi,Mumbai,28.6,77.2,19.0,72.8,flood,5.58,0.53,24.3,delayed
DEL-10192,Delhi,Kolkata,28.6,77.2,22.5,88.3,cyclone,5.24,0.36,17.0,delayed
DEL-10193,Delhi,Kolkata,28.6,77.2,22.5,88.3,flood,3.14,0.36,14.4,delayed
DEL-10194,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,0.3,0.82,0.0,on_time
DEL-10195,Delhi,Mumbai,28.6,77.2,19.0,72.8,flood,5.75,0.4,19.0,delayed
DEL-10196,Delhi,Kolkata,28.6,77.2,22.5,88.3,none,8.38,0.33,8.4,delayed
DEL-10197,Mumbai,Chennai,19.0,72.8,13.0,80.2,heatwave,8.83,0.44,35.1,delayed
DEL-10198,Chennai,Bengaluru,13.0,80.2,12.9,77.5,none,9.95,0.3,15.6,delayed
DEL-10199,Delhi,Mumbai,28.6,77.2,19.0,72.8,none,1.94,0.62,4.4,on_time
